depth,drop,pageid,parent_id,sex,sortkeyprefix,title
2,False,4481441,3397597,female,*せいき,Category:日本の女優 (世紀別)
2,False,230937,3397597,female,AVしよゆう,Category:日本のAV女優
2,False,5003690,3397597,female,こやく,Category:日本の女性子役
2,False,676880,3397597,female,せいゆう,Category:日本の女性声優
2,False,3551922,3397597,female,ふたいしよゆう,Category:日本の舞台女優
2,False,2331549,2161939,female,ようせいしせつ,Category:保健師助産師看護師養成所
2,False,4504111,4282014,female,+,Category:20世紀日本の女性実業家
2,False,4504108,4282014,female,+21,Category:21世紀日本の女性実業家
2,False,3492502,3473877,female,しようかん,Category:自衛隊の女性将官
2,False,3825181,3572748,female,けいしゆつか,Category:日本の女性芸術家
2,False,3510628,3572748,female,さつきよくか,Category:日本の女性作曲家
2,False,3227111,3572734,female,おわらいこんひ,Category:日本の女性お笑いコンビ
2,False,3550632,2832939,female,かしゆ,Category:芸者歌手
2,False,2030118,2832939,female,きしよう,Category:妓生
2,False,4362345,4054309,female,*せいき,Category:日本の女性教育者 (世紀別)
2,False,4381831,4054309,female,おんかく,Category:日本の女性音楽教育者
2,False,4389435,4054309,female,けんこ,Category:日本の女性言語教育者
2,False,5115441,4219282,female,+19,Category:19世紀日本の女性活動家
2,False,5115443,4219282,female,+20,Category:20世紀日本の女性活動家
2,False,5120467,4219282,female,+21,Category:21世紀日本の女性活動家
2,False,1928532,4219282,female,あいこくふしんかい,Category:愛国婦人会の人物
2,False,4000379,4219282,female,けんりかつとうか,Category:女性の権利活動家 (日本)
2,False,4219349,4219282,female,ろうとう,Category:日本の女性労働運動家
2,False,3503041,4370107,female,かかくしや,Category:日本の女性科学者
2,False,3832645,4370107,female,かせいかくしや,Category:日本の女性家政学者
2,False,4370106,4370107,female,かんかくしや,Category:女性の漢学者
2,False,4722296,4370107,female,けいえいかくしや,Category:日本の女性経営学者
2,False,3511477,4370107,female,けいさいかくしや,Category:日本の女性経済学者
2,False,3865198,4370107,female,けんこかくしや,Category:日本の女性言語学者
2,False,4350034,4370107,female,こうこかくしや,Category:日本の女性考古学者
2,False,4498022,4370107,female,こくさいせいしかくしや,Category:日本の女性国際政治学者
2,False,4403401,4370107,female,しやかい,Category:日本の女性社会学者
2,False,4322089,4370107,female,しんるいかく,Category:日本の女性の人類学者
2,False,4497998,4370107,female,せいしかくしや,Category:日本の女性政治学者
2,False,3833229,4370107,female,てつかくしや,Category:日本の女性哲学者
2,False,4722307,4370107,female,ふんかかくしや,Category:日本の女性文化学者
2,False,3842367,4370107,female,ほいくかくしや,Category:日本の女性保育学者
2,False,4491421,4370107,female,ほうかくしや,Category:日本の女性法学者
2,False,4369847,4370107,female,れきしかくしや,Category:日本の女性歴史学者
2,False,4349284,3614549,female,たいし,Category:日本の女性大使
2,False,3922718,3510778,female,*くるうふ,Category:日本の女性音楽グループ
2,False,3510074,3510778,female,かしゆ,Category:日本の女性歌手
2,False,4395726,3510778,female,とらま,Category:日本の女性ドラマー
2,False,4325406,3510778,female,ひあにすと,Category:日本の女性ピアニスト
2,False,4371002,3832674,female,19,Category:19世紀日本の女性医師
2,False,4371004,3832674,female,20,Category:20世紀日本の女性医師
2,False,4371006,3832674,female,21,Category:21世紀日本の女性医師
2,False,4370971,3832674,female,せいしんかい,Category:日本の女性精神科医
2,True,3017155,4102361,female,*,Category:アキバ系アイドル
2,False,3854426,4102361,female,*あいとる,Category:日本の女性アイドルグループ
2,True,2535041,4102361,female,おかしけい,Category:お菓子系
2,True,912499,4102361,female,かこのはろおふろしえくとしよそくしや,Category:過去のハロー!プロジェクト所属者
2,False,4054252,4362990,female,かかくしや,Category:日本の女性科学者 (世紀別)
2,False,3980683,4362990,female,けいしゆつか,Category:日本の女性芸術家 (世紀別)
2,False,4857925,4362990,female,こうそく,Category:日本の女性皇族 (世紀別)
2,True,5022431,3918819,male,ほろすたあすのはあちやるゆうちゆうはあ,Category:ホロスターズのバーチャルYouTuber
2,False,1486165,1486137,male,ふあつしよんもてる,Category:日本の男性ファッションモデル
2,False,4549273,4549280,male,えほん,Category:日本の男性絵本作家
2,True,4633129,4549280,male,さわきこうたろう,Category:沢木耕太郎
2,False,3793349,4549280,male,しやなりすと,Category:日本の男性ジャーナリスト
2,False,5003637,3582970,male,*せいき,Category:日本の男優 (世紀別)
2,False,5003691,3582970,male,-こやく,Category:日本の男性子役
2,False,4105301,3582970,male,うるとらしりいす,Category:ウルトラシリーズ主演俳優
2,False,523656,3582970,male,ええふいたんゆう,Category:日本のAV男優
2,False,166487,3582970,male,かふきやくしや,Category:歌舞伎役者
2,False,4104839,3582970,male,かめんらいたあしりいす,Category:仮面ライダーシリーズ主演俳優
2,False,4848468,3582970,male,すうはあせんたいしりいすしゆえんはいゆう,Category:スーパー戦隊シリーズ主演俳優
2,False,676998,3582970,male,せいゆう,Category:日本の男性声優
2,False,1197221,3582970,male,につかつろまんほるの,Category:日活ロマンポルノの男優
2,False,4276151,2427504,male,ああちえりい,Category:日本の男子アーチェリー選手
2,False,4875136,2427504,male,あいすほつけえ,Category:日本の男子アイスホッケー選手
2,False,4094459,2427504,male,あるへんすきい,Category:日本の男子アルペンスキー選手
2,False,892490,2427504,male,おおすもうりきし,Category:日本出身の大相撲力士
2,False,4114705,2427504,male,かありんく,Category:日本の男子カーリング選手
2,False,2450326,2427504,male,からてか,Category:日本の男子空手家
2,False,3853397,2427504,male,きようえい,Category:日本の男子競泳選手
2,False,2450333,2427504,male,こるふあ,Category:日本の男子ゴルファー
2,False,3932426,2427504,male,してんしや,Category:日本の男子自転車選手
2,False,2450325,2427504,male,しゆうとう,Category:日本の男子柔道家
2,False,4394434,2427504,male,しよおととらつくすひいとすけえと,Category:日本の男子ショートトラックスピードスケート選手
2,False,3084629,2427504,male,しんくる,Category:日本の男子シングルスケーティング選手
2,False,3974570,2427504,male,すいきゆう,Category:日本の男子水球選手
2,False,5013631,2427504,male,すかつしゆ,Category:日本の男子スカッシュ選手
2,False,4073131,2427504,male,すひいとすけえと,Category:日本の男子スピードスケート選手
2,False,4183632,2427504,male,せえりんく,Category:日本の男子セーリング選手
2,False,4822038,2427504,male,そふとてにす,Category:日本の男子ソフトテニス選手
2,False,3934783,2427504,male,そふとほおる,Category:日本の男子ソフトボール選手
2,False,3951153,2427504,male,たいそう,Category:日本の男子体操競技選手
2,False,3946016,2427504,male,たつきゆう,Category:日本の男子卓球選手
2,False,4116557,2427504,male,てこんとお,Category:日本の男子テコンドー選手
2,False,3816845,2427504,male,てにす,Category:日本の男子テニス選手
2,False,4117108,2427504,male,とひこみ,Category:日本の男子飛込競技選手
2,False,4119615,2427504,male,とらいあすろん,Category:日本の男子トライアスロン選手
2,False,1980330,2427504,male,はすけつとほる,Category:日本の男子バスケットボール選手
2,False,4066570,2427504,male,はとみんとん,Category:日本の男子バドミントン選手
2,False,1977759,2427504,male,はれほる,Category:日本の男子バレーボール選手
2,False,3742431,2427504,male,はんとほおる,Category:日本の男子ハンドボール選手
2,False,4063999,2427504,male,ひいちはれえ,Category:日本の男子ビーチバレーボール選手
2,False,4110087,2427504,male,ふえんしんく,Category:日本の男子フェンシング選手
2,False,4891477,2427504,male,へえすほおるふあいふ,Category:日本の男子ベースボール5選手
2,False,4059492,2427504,male,ほうりんく,Category:日本の男子ボウリング選手
2,False,3650233,2427504,male,ほくさあ,Category:日本の男子ボクサー
2,False,4038051,2427504,male,ほつけえ,Category:日本の男子ホッケー選手
2,False,3666839,2427504,male,りくしよう,Category:日本の男子陸上競技選手
2,False,3929256,2427504,male,れすりんく,Category:日本の男子レスリング選手
2,False,4273476,3572746,male,けいしゆつか,Category:日本の男性芸術家
2,False,3510625,3572746,male,さつきよくか,Category:日本の男性作曲家
2,True,3471400,3572733,male,いなかわしゆんし,Category:稲川淳二
2,True,4036919,3572733,male,けきたんひとり,Category:劇団ひとり
2,True,3978158,3572733,male,けんとうこはやし,Category:ケンドーコバヤシ
2,True,434836,3572733,male,たけしくんたん,Category:たけし軍団
2,True,1216634,3572733,male,たもり,Category:タモリ
2,True,3459374,3572733,male,はかりすむ,Category:バカリズム
2,True,1232040,3572733,male,ひいとたけし,Category:ビートたけし
2,True,2635324,3572733,male,ひろみ,Category:ヒロミ
2,False,3854409,3510070,male,*,Category:日本の男性アイドルグループ
2,False,3510623,3510070,male,*しんかあそんくらいたあ,Category:日本の男性シンガーソングライター
2,False,3931579,3510070,male,くるうふ,Category:日本の男性歌手グループ
2,False,1971971,3510070,male,てのおる,Category:日本のテノール歌手
2,False,2065043,3510070,male,はす,Category:日本のバス歌手
2,False,1972042,3510070,male,はりとん,Category:日本のバリトン歌手
2,False,3533902,3510070,male,へういめたる,Category:日本の男性ヘヴィメタル歌手
2,False,3516541,3510070,male,ほ,Category:日本の男性ポップ歌手
2,False,3516544,3510070,male,ろつく,Category:日本の男性ロック歌手
3,False,4859264,4857925,female,06,Category:6世紀日本の女性皇族
3,False,4859265,4857925,female,07,Category:7世紀日本の女性皇族
3,False,4859283,4857925,female,08,Category:8世紀日本の女性皇族
3,False,4859996,4857925,female,09,Category:9世紀日本の女性皇族
3,False,4869210,4857925,female,,Category:10世紀日本の女性皇族
3,False,4880566,4857925,female,,Category:11世紀日本の女性皇族
3,False,4881400,4857925,female,,Category:12世紀日本の女性皇族
3,False,4881401,4857925,female,,Category:13世紀日本の女性皇族
3,False,4895512,4857925,female,,Category:14世紀日本の女性皇族
3,False,4895513,4857925,female,,Category:15世紀日本の女性皇族
3,False,4895515,4857925,female,,Category:16世紀日本の女性皇族
3,False,4861193,4857925,female,17,Category:17世紀日本の女性皇族
3,False,4861194,4857925,female,18,Category:18世紀日本の女性皇族
3,False,4857932,4857925,female,19,Category:19世紀日本の女性皇族
3,False,4857929,4857925,female,20,Category:20世紀日本の女性皇族
3,False,4857923,4857925,female,21,Category:21世紀日本の女性皇族
3,False,3930211,3980683,female,17,Category:17世紀日本の女性芸術家
3,False,3930210,3980683,female,18,Category:18世紀日本の女性芸術家
3,False,3930202,3980683,female,19,Category:19世紀日本の女性芸術家
3,False,3930203,3980683,female,20,Category:20世紀日本の女性芸術家
3,False,3930206,3980683,female,21,Category:21世紀日本の女性芸術家
3,False,4319520,3980683,female,かか,Category:日本の女性画家 (世紀別)
3,False,4054253,4054252,female,19,Category:19世紀日本の女性科学者
3,False,4054246,4054252,female,20,Category:20世紀日本の女性科学者
3,False,4054247,4054252,female,21,Category:21世紀日本の女性科学者
3,True,307801,2535041,female,おかしけいあいとる,Category:お菓子系アイドル
3,True,843703,2535041,female,おかしけいさつし,Category:お菓子系雑誌
3,False,4181766,3854426,female,あみゆうす,Category:アミューズの女性アイドルグループ
3,False,5017937,3854426,female,ういいひいすたしおす,Category:We-B studiosの女性アイドルグループ
3,False,5027368,3854426,female,ういしゆあるけいのしよせいあいとるくるうふ,Category:ヴィジュアル系の女性アイドルグループ
3,True,4169034,3854426,female,えいけいひいふおおていえいと,Category:AKB48系のポップ・グループ
3,False,5164016,3854426,female,えいへつくす,Category:エイベックスの女性アイドルグループ
3,True,5064915,3854426,female,かわいいらほ,Category:KAWAII LAB.のアイドルグループ
3,False,5164021,3854426,female,さかみちしりいす,Category:坂道シリーズの女性アイドルグループ
3,True,5164049,3854426,female,すたあふらねつと,Category:STAR PLANETのアイドルグループ
3,False,4385808,3854426,female,ついんふらねっとのあいとる,Category:TWIN PLANETの女性アイドルグループ
3,True,4179642,3854426,female,とりいむほおと,Category:DreamBoat
3,True,4168471,3854426,female,はろおふろしえくと,Category:ハロー!プロジェクトのポップ・グループ
3,True,5064918,3854426,female,ひろいんす,Category:HEROINESのアイドルグループ
3,False,4180555,3854426,female,ふらちなむふろたくしよん,Category:プラチナムの女性アイドルグループ
3,True,4136015,3854426,female,ふりいくらほらとりい,Category:FreeK-Laboratory
3,False,4181023,3854426,female,らいしんく,Category:ライジングの女性アイドルグループ
3,True,5083421,3854426,female,らいふふらねつと,Category:LIVE PLANETのアイドルグループ
3,False,4229945,3854426,female,れふろえんたていんめいと,Category:レプロの女性アイドルグループ
3,False,5164030,3854426,female,わつく,Category:WACKの女性アイドルグループ
3,True,2337675,3017155,female,ええけえひい48くるうふ,Category:AKB48グループ
3,True,3252804,3017155,female,てんはくみいんく,Category:でんぱ組.inc
3,True,5009475,3017155,female,にしのこんきすたとおる,Category:虹のコンキスタドール
3,False,2065074,3510074,female,あると,Category:日本のアルト歌手
3,False,4627935,3510074,female,くるうふ,Category:日本の女性歌手グループ
3,False,3512634,3510074,female,しやす,Category:日本の女性ジャズ歌手
3,False,3510624,3510074,female,しんかあそんくらいたあ,Category:日本の女性シンガーソングライター
3,False,1695676,3510074,female,そふらの,Category:日本のソプラノ歌手
3,False,4006340,3510074,female,ふおく,Category:日本の女性フォークシンガー
3,False,3534931,3510074,female,へういめたる,Category:日本の女性ヘヴィメタル歌手
3,False,3512606,3510074,female,ほ,Category:日本の女性ポップ歌手
3,False,3511934,3510074,female,みゆうしかる,Category:日本のミュージカル女優
3,False,2065082,3510074,female,めそそふらの,Category:日本のメゾソプラノ歌手
3,False,3510613,3510074,female,ろつく,Category:日本の女性ロック歌手
3,False,3510665,3922718,female,*かあるすくるうふ,Category:日本のガール・グループ
3,False,4634445,3922718,female,かあるすはんと,Category:日本のガールズバンド
3,True,3986795,3922718,female,ちやらんほらんたん,Category:チャラン・ポ・ランタン
3,False,4371359,4369847,female,20,Category:20世紀日本の女性歴史家
3,False,4371360,4369847,female,21,Category:21世紀日本の女性歴史家
3,False,4722300,4369847,female,ひしゆつしか,Category:日本の女性美術史家
3,False,4381749,3865198,female,けんこきよういく,Category:日本の女性言語教育学者
3,False,3842337,3832645,female,ひふくかく,Category:日本の女性被服学者
3,False,3505158,3503041,female,いかくしや,Category:日本の女性医学者
3,False,3832622,3503041,female,えいよう,Category:日本の女性栄養学者
3,False,3832603,3503041,female,かかくしや,Category:日本の女性化学者
3,False,3840474,3503041,female,かんこかくしや,Category:日本の女性看護学者
3,False,3865237,3503041,female,きよういくかくしや,Category:日本の女性教育学者
3,False,4403404,3503041,female,けいさんきかかく,Category:日本の女性計算機科学者
3,False,4377007,3503041,female,こうかくしや,Category:日本の女性工学者
3,False,3831854,3503041,female,しよくふつ,Category:日本の女性植物学者
3,False,4054219,3503041,female,しんけい,Category:日本の女性神経科学者
3,False,3511788,3503041,female,しんりかくしや,Category:日本の女性心理学者
3,False,4080641,3503041,female,すうかくしや,Category:日本の女性数学者
3,False,3832583,3503041,female,せいふつ,Category:日本の女性生物学者
3,False,3843075,3503041,female,てんもんかくしや,Category:日本の女性天文学者
3,False,3832582,3503041,female,とうふつ,Category:日本の女性動物学者
3,False,3843076,3503041,female,にんちかかくしや,Category:日本の女性認知科学者
