,depth,drop,pageid,parent_id,sex,sortkeyprefix,title
841,4,False,4487787,2654151,male,いちかわ たんしゆうろう01,Category:初代市川團十郎
842,4,False,4495261,2654151,male,さかた とうしゆうろう1,Category:初代坂田藤十郎
843,4,False,4495273,2654151,male,なかむら うたえもん01,Category:初代中村歌右衛門
844,4,False,4764492,892487,male,きたのふしかつあき,Category:北の富士勝昭
845,4,False,3902504,892487,male,たいほうこうき,Category:大鵬幸喜
846,4,False,3629164,892487,male,ちよのふしみつく,Category:千代の富士貢
847,4,False,4764503,892531,male,たかのはなこうし,Category:貴乃花光司
848,4,False,3828231,2779135,male,わあるとかつふ,Category:FIBAバスケットボール・ワールドカップ日本代表選手
853,4,False,3849228,3845707,male,めんはあ,Category:DA PUMPのメンバー
854,4,False,640303,4168484,male,あらし,Category:嵐 (グループ)
855,4,False,3090291,4168484,male,うえすと,Category:WEST.
856,4,False,4990772,4168484,male,ええくるうふ,Category:Aぇ! group
857,4,False,4273925,4168484,male,ええひいしいすい,Category:A.B.C-Z
858,4,False,2391986,4168484,male,きすまいふつとつう,Category:Kis-My-Ft2
859,4,False,3769626,4168484,male,きんくあんとふりんす,Category:King & Prince
860,4,False,572040,4168484,male,すうはあえいと,Category:SUPER EIGHT
861,4,False,4065628,4168484,male,すとおんす,Category:SixTONES
862,4,False,4065634,4168484,male,すのおまん,Category:Snow Man
863,4,False,3779968,4168484,male,たいむれす,Category:Timelesz
864,4,False,648521,4168484,male,とうもと,Category:DOMOTO
865,4,False,562970,4168484,male,ときお,Category:TOKIO
866,4,False,4682345,4168484,male,とらひすしあはん,Category:Travis Japan
868,4,False,649397,4168484,male,にゆうす,Category:NEWS
869,4,False,1168430,4168484,male,へいせいしやんふ,Category:Hey! Say! JUMP
870,4,False,5157613,3390649,male,あいす,Category:ICEx
871,4,False,5154971,3390649,male,けんいんはしふんにある,Category:原因は自分にある。
872,4,False,5153943,3390649,male,さくらしめし,Category:Sakurashimeji
873,4,False,4478388,3390649,male,さくらしめし,Category:さくらしめじ
874,4,False,5154941,3390649,male,すうはあとらこん,Category:SUPER★DRAGON
875,4,False,3550782,3390649,male,ちようとつきゆう,Category:超特急
876,4,False,5155980,3390649,male,はていいす,Category:BUDDiiS
877,4,False,5040804,3390649,male,みるく,Category:M!LK
878,4,False,5157635,3390649,male,りえねる,Category:Lienel
879,4,False,5072335,3390649,male,わんえんおんりい,Category:ONE N' ONLY
880,4,False,4134585,3390649,male,過,Category:過去のEBiDAN所属者
881,4,False,4424790,4424788,male,*めんはあ,Category:INIのメンバー
918,4,False,2258971,2261128,female,まるくすきようたい,Category:マルクス兄弟
925,4,False,1726772,2261128,female,むてき,Category:MUTEKI
947,5,False,4077900,2641958,female,のおねいむ,Category:NO NAME (アイドルユニット)
948,5,False,2667752,2641958,female,ふれんちきす,Category:フレンチ・キス
949,5,False,3988830,2641958,female,わたりろうかはしりたいせふん,Category:渡り廊下走り隊7
950,5,False,4658489,3714309,female,,Category:AKB48 Team TPの所属者
951,5,False,1883698,3714309,female,,Category:AKB48の所属者
952,5,False,2604258,3714309,female,,Category:HKT48の所属者
953,5,False,2923372,3714309,female,,Category:JKT48の所属者
954,5,False,4937844,3714309,female,,Category:KLP48の所属者
955,5,False,3554033,3714309,female,,Category:NGT48の所属者
956,5,False,2604264,3714309,female,,Category:NMB48の所属者
957,5,False,1888215,3714309,female,,Category:SKE48の所属者
958,5,False,3563405,3714309,female,,Category:STU48の所属者
959,5,False,2699785,3714309,female,過,Category:過去のAKB48グループ所属者
961,5,False,2900228,3563408,female,ましすかかくえん,Category:マジすか学園
962,5,False,2923374,2883478,female,しよそくしや,Category:SNH48の所属者
965,5,False,1888199,1840797,female,しよそくしや,Category:SDN48の所属者
979,5,False,3588458,566085,female,せんはつそうせんきよ,Category:AKB48選抜総選挙
984,5,False,4267783,4267785,female,めんはあ,Category:Liella!のメンバー
985,5,False,2376271,5161477,female,はつひいすたいる,Category:HAPPY! STYLE
986,5,False,4142122,3213451,female,めんはあ,Category:Μ'sのメンバー
988,5,False,4142178,3843256,female,めんはあ,Category:虹ヶ咲学園スクールアイドル同好会のメンバー
989,5,False,4853843,4853841,female,めんはあ,Category:SMILE PRINCESSのメンバー
990,5,False,5134483,5127263,female,めんはあ,Category:いきづらい部!のメンバー
991,5,False,4142111,3349971,female,めんはあ,Category:Aqoursのメンバー
992,5,False,4854492,4854487,female,めんはあ,Category:I☆Risのメンバー
